event_id,cluster,area_px,compactness,edge_density,mask_frac,scene_id,t0,t1
EV_0000000,0,59,0.12836147266600237,0.23806609547123622,0.07160342717258263,L15-0331E-1257N_1327_3160_13,2018_01,2018_02
EV_0000001,0,52,0.13335740241088154,0.19963144963144963,0.07493857493857493,L15-0331E-1257N_1327_3160_13,2018_03,2018_04
EV_0000002,0,52,0.13335740241088154,0.13384813384813385,0.07850707850707851,L15-0331E-1257N_1327_3160_13,2018_03,2018_04
EV_0000003,0,120,0.05745939924042224,0.20315315315315316,0.11036036036036036,L15-0331E-1257N_1327_3160_13,2018_04,2018_05
EV_0000004,0,84,0.07092012439769219,0.16805555555555557,0.1284722222222222,L15-0331E-1257N_1327_3160_13,2018_04,2018_05
EV_0000005,0,32,0.06609530894040075,0.22430555555555556,0.07361111111111111,L15-0331E-1257N_1327_3160_13,2018_08,2018_09
EV_0000006,0,30,1.1635528310716738,0.2240398293029872,0.021337126600284494,L15-0331E-1257N_1327_3160_13,2019_02,2019_03
EV_0000007,0,45,0.1032663764687539,0.21630506245890863,0.07166337935568705,L15-0331E-1257N_1327_3160_13,2019_03,2019_04
EV_0000008,0,35,0.08031829280903081,0.2598752598752599,0.07137907137907137,L15-0331E-1257N_1327_3160_13,2019_03,2019_04
EV_0000009,0,36,0.06727979506984688,0.20663956639566394,0.07859078590785908,L15-0331E-1257N_1327_3160_13,2019_06,2019_07
EV_0000010,0,36,0.25645654300480364,0.21621621621621623,0.05241605241605242,L15-0331E-1257N_1327_3160_13,2019_08,2019_09
EV_0000011,0,40,0.04309454942826409,0.1365211365211365,0.11295911295911296,L15-0331E-1257N_1327_3160_13,2019_08,2019_09
EV_0000012,0,40,0.023581104548263548,0.14256756756756755,0.15135135135135136,L15-0331E-1257N_1327_3160_13,2019_08,2019_09
EV_0000013,0,48,0.03922904457921509,0.0860597439544808,0.13513513513513514,L15-0331E-1257N_1327_3160_13,2019_08,2019_09
EV_0000014,0,48,0.045609511489121415,0.12236842105263158,0.11842105263157894,L15-0331E-1257N_1327_3160_13,2019_08,2019_09
EV_0000015,0,41,0.12040637225815881,0.15426829268292683,0.05975609756097561,L15-0331E-1257N_1327_3160_13,2019_10,2019_11
EV_0000016,0,32,0.1282282715342045,0.16458333333333333,0.05625,L15-0331E-1257N_1327_3160_13,2019_10,2019_11
EV_0000017,0,41,0.12040637225815881,0.18609022556390978,0.06140350877192982,L15-0331E-1257N_1327_3160_13,2019_10,2019_11
EV_0000018,0,30,1.0442967240622671,0.16998577524893316,0.023470839260312945,L15-0331E-1257N_1327_3160_13,2019_11,2019_12
EV_0000019,0,33,0.11519173059962805,0.22259136212624583,0.05249169435215947,L15-0357E-1223N_1429_3296_13,2018_02,2018_03
EV_0000020,0,33,0.21419949899775476,0.13558201058201058,0.037698412698412696,L15-0357E-1223N_1429_3296_13,2018_03,2018_04
EV_0000021,0,31,0.09084147179015363,0.16401468788249693,0.05324357405140759,L15-0357E-1223N_1429_3296_13,2018_04,2018_05
EV_0000022,0,44,0.18961601743559242,0.17487373737373738,0.04671717171717172,L15-0357E-1223N_1429_3296_13,2018_05,2018_06
EV_0000023,0,70,0.6633855903917776,0.17386489479512734,0.03875968992248062,L15-0357E-1223N_1429_3296_13,2018_06,2018_07
EV_0000024,0,127,0.1614792123466897,0.17738359201773837,0.11363636363636363,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000025,0,183,0.19854745381433753,0.15151515151515152,0.09545454545454546,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000026,0,49,0.21721347804520424,0.22007941009642654,0.041406693136698806,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000027,0,60,0.17309050429028,0.20363408521303258,0.06766917293233082,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000028,0,41,0.09938680460828302,0.1698966408268734,0.06718346253229975,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000029,0,53,0.08222440030602614,0.16727053140096618,0.08272946859903382,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000030,0,44,0.18961601743559242,0.19381313131313133,0.050505050505050504,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000031,0,44,0.18961601743559242,0.2051948051948052,0.05194805194805195,L15-0357E-1223N_1429_3296_13,2018_07,2018_08
EV_0000032,0,73,0.180199670237569,0.15319148936170213,0.04822695035460993,L15-0357E-1223N_1429_3296_13,2018_08,2018_09
EV_0000033,0,44,0.4266360390471971,0.22739018087855298,0.03617571059431524,L15-0357E-1223N_1429_3296_13,2018_09,2018_10
EV_0000034,0,37,0.12174435554491893,0.20987654320987653,0.06613756613756613,L15-0357E-1223N_1429_3296_13,2019_03,2019_04
EV_0000035,0,34,0.1977233011338067,0.2599880739415623,0.04054859868813357,L15-0357E-1223N_1429_3296_13,2019_09,2019_10
EV_0000036,0,34,0.1977233011338067,0.245311327831958,0.05101275318829707,L15-0357E-1223N_1429_3296_13,2019_09,2019_10
EV_0000037,0,31,0.38871924632080546,0.23106546854942234,0.030166880616174584,L15-0358E-1220N_1433_3310_13,2018_02,2018_03
EV_0000038,0,48,0.24667375508704056,0.13858695652173914,0.04728260869565217,L15-0358E-1220N_1433_3310_13,2018_03,2018_04
EV_0000039,0,45,0.28889518026505195,0.20212765957446807,0.034574468085106384,L15-0358E-1220N_1433_3310_13,2018_03,2018_04
EV_0000040,0,36,0.7462591801337407,0.15384615384615385,0.02146690518783542,L15-0358E-1220N_1433_3310_13,2018_03,2018_04
EV_0000041,0,46,0.3056913334557748,0.17572062084257206,0.04434589800443459,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000042,0,46,0.3056913334557748,0.19047619047619047,0.04884004884004884,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000043,0,31,0.10932856530886378,0.26048951048951047,0.050699300699300696,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000044,0,36,0.2347433603056346,0.25,0.04186046511627907,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000045,0,36,0.2347433603056346,0.26833631484794274,0.04293381037567084,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000046,0,71,0.04624522316773194,0.22733548090197883,0.11136677404509894,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000047,0,66,0.08485506806368293,0.23977546110665598,0.060144346431435444,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000048,0,71,0.046498413447739945,0.19090909090909092,0.1038961038961039,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000049,0,71,0.04902838246954152,0.18417122946739672,0.1134892981582877,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000050,0,33,0.7303533921109653,0.1562313655336911,0.01967799642218247,L15-0358E-1220N_1433_3310_13,2018_04,2018_05
EV_0000051,0,51,0.46294376409795585,0.18227529855436833,0.039597737272155875,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000052,0,32,0.11538061557966846,0.17982456140350878,0.05263157894736842,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000053,9,51,0.015541178018215834,0.2148978246539222,0.1951219512195122,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000054,9,59,0.010693378425671063,0.24031007751937986,0.2319618366129994,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000055,7,49,0.011823542424801478,0.19656019656019655,0.22686322686322685,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000056,0,46,0.011961231662456951,0.18917710196779963,0.1368515205724508,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000057,9,59,0.008699403175167804,0.24673851389676688,0.24560408394781622,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
EV_0000058,0,45,0.009252925238019625,0.195630081300813,0.179369918699187,L15-0358E-1220N_1433_3310_13,2018_05,2018_06
